,pga_contour_raster_cropped
0,0.28
1,0.28
2,0.28
3,0.28
4,0.28
5,0.28
6,0.28
7,0.28
8,0.28
9,0.28
10,0.2735769
11,0.28
12,0.28
13,0.28
14,0.28
15,0.28
16,0.28
17,0.28
18,0.28
19,0.28
20,0.28
21,0.27968544
22,0.27968544
23,0.2735769
24,0.2735769
25,0.28
26,0.28
27,0.28
28,0.28
29,0.28
30,0.28
31,0.28
32,0.28
33,0.28
34,0.28
35,0.27968544
36,0.27968544
37,0.27968544
38,0.2735769
39,0.2735769
40,0.2735769
41,0.28
42,0.28
43,0.28
44,0.28
45,0.28
46,0.28
47,0.28
48,0.28
49,0.28
50,0.28
51,0.27968544
52,0.27968544
53,0.27968544
54,0.27968544
55,0.27278692
56,0.27278692
57,0.27278692
58,0.28
59,0.28
60,0.28
61,0.28
62,0.28
63,0.28980446
64,0.28980446
65,0.28980446
66,0.28980446
67,0.28980446
68,0.3195611
69,0.3195611
70,0.3195611
71,0.3195611
72,0.27278692
73,0.27278692
74,0.27278692
75,0.27278692
76,0.28
77,0.28
78,0.28
79,0.28
80,0.28
81,0.28980446
82,0.28980446
83,0.28980446
84,0.28980446
85,0.28980446
86,0.3195611
87,0.3195611
88,0.3195611
89,0.3195611
90,0.3195611
91,0.27278692
92,0.27278692
93,0.27278692
94,0.27278692
95,0.28
96,0.28
97,0.28
98,0.28
99,0.28
100,0.28980446
101,0.28980446
102,0.28980446
103,0.28980446
104,0.28980446
105,0.3195611
106,0.3195611
107,0.3195611
108,0.3195611
109,0.3195611
110,0.27278692
111,0.27278692
112,0.27278692
113,0.27278692
114,0.28
115,0.28
116,0.28
117,0.28
118,0.28
119,0.28980446
120,0.28980446
121,0.28980446
122,0.28980446
123,0.28980446
124,0.3195611
125,0.3195611
126,0.3195611
127,0.3195611
128,0.3195611
129,0.27278692
130,0.27278692
131,0.27278692
132,0.27278692
133,0.28
134,0.28
135,0.28
136,0.28
137,0.28
138,0.28980446
139,0.28980446
140,0.28980446
141,0.28980446
142,0.28980446
143,0.3195611
144,0.3195611
145,0.3195611
146,0.3195611
147,0.3195611
148,0.2973552
149,0.2973552
150,0.2973552
151,0.2973552
152,0.2973552
153,0.29956156
154,0.29956156
155,0.29956156
156,0.29956156
157,0.29956156
158,0.30774552
159,0.30774552
160,0.30774552
161,0.30774552
162,0.28986788
163,0.28986788
164,0.28986788
165,0.28986788
166,0.28986788
167,0.28
168,0.2973552
169,0.2973552
170,0.2973552
171,0.2973552
172,0.29956156
173,0.29956156
174,0.29956156
175,0.29956156
176,0.29956156
177,0.30774552
178,0.30774552
179,0.30774552
180,0.30774552
181,0.30774552
182,0.28986788
183,0.28986788
184,0.28986788
185,0.28986788
186,0.28986788
187,0.2973552
188,0.2973552
189,0.2973552
190,0.2973552
191,0.29956156
192,0.29956156
193,0.29956156
194,0.29956156
195,0.29956156
196,0.30774552
197,0.30774552
198,0.30774552
199,0.30774552
200,0.30774552
201,0.28986788
202,0.28986788
203,0.28986788
204,0.28986788
205,0.28986788
206,0.2973552
207,0.2973552
208,0.2973552
209,0.2973552
210,0.29956156
211,0.29956156
212,0.29956156
213,0.29956156
214,0.29956156
215,0.30774552
216,0.30774552
217,0.30774552
218,0.30774552
219,0.30774552
220,0.28986788
221,0.28986788
222,0.28986788
223,0.28986788
224,0.28986788
225,0.2973552
226,0.2973552
227,0.2973552
228,0.2973552
229,0.29956156
230,0.29956156
231,0.29956156
232,0.29956156
233,0.29956156
234,0.30774552
235,0.30774552
236,0.30774552
237,0.30774552
238,0.30774552
239,0.28986788
240,0.28986788
241,0.28986788
242,0.28986788
243,0.28986788
244,0.30387422
245,0.30387422
246,0.30387422
247,0.29379904
248,0.29379904
249,0.29379904
250,0.29379904
251,0.29379904
252,0.28
253,0.28
254,0.28
255,0.28
256,0.28
257,0.28580332
258,0.28580332
259,0.28580332
260,0.28580332
261,0.30387422
262,0.30387422
263,0.30387422
264,0.29379904
265,0.29379904
266,0.29379904
267,0.29379904
268,0.29379904
269,0.28
270,0.28
271,0.28
272,0.28
273,0.28
274,0.28580332
275,0.28580332
276,0.28580332
277,0.28580332
278,0.30387422
279,0.30387422
280,0.29379904
281,0.29379904
282,0.29379904
283,0.29379904
284,0.29379904
285,0.28
286,0.28
287,0.28
288,0.28
289,0.28
290,0.28580332
291,0.28580332
292,0.28580332
293,0.30387422
294,0.29379904
295,0.29379904
296,0.29379904
297,0.29379904
298,0.29379904
299,0.28
300,0.28
301,0.28
302,0.28
303,0.28
304,0.28580332
305,0.28580332
306,0.28
307,0.28
308,0.28
309,0.28
310,0.2845101
311,0.2845101
312,0.2845101
313,0.2845101
314,0.2845101
315,0.2845101
