,distance_stream_downstream
0,24737.285
1,24293.31
2,24242.498
3,24293.31
4,24454.912
5,24616.514
6,25019.668
7,25181.275
8,26644.182
9,26482.58
10,24201.723
11,24604.877
12,24524.875
13,24575.688
14,24524.871
15,24575.688
16,24737.29
17,24898.896
18,25302.05
19,25463.666
20,26714.145
21,26764.957
22,26714.14
23,24271.676
24,24322.496
25,24484.11
26,24887.266
27,25048.885
28,25210.504
29,25019.67
30,24968.852
31,25019.67
32,25181.285
33,25584.44
34,27047.338
35,26996.52
36,27047.338
37,26996.52
38,24554.06
39,24604.88
40,24554.057
41,24604.88
42,24766.5
43,24928.121
44,25331.275
45,25492.902
46,25302.055
47,25251.232
48,25302.055
49,25463.676
50,27278.904
51,27228.082
52,27278.904
53,27228.082
54,27278.904
55,25350.402
56,24836.445
57,24785.62
58,24836.445
59,24887.268
60,25048.889
61,25210.514
62,25372.14
63,25775.297
64,25584.443
65,25533.617
66,25584.443
67,27510.469
68,27459.643
69,27510.469
70,27561.291
71,27510.469
72,25743.605
73,25581.967
74,25068.012
75,25229.643
76,25068.012
77,25331.28
78,25492.906
79,25442.076
80,25492.906
81,25654.537
82,25816.17
83,26219.328
84,25816.006
85,20191.97
86,20141.137
87,20191.97
88,20030.326
89,19979.49
90,20068.205
91,25864.37
92,25461.21
93,25299.572
94,25461.21
95,25512.037
96,26026.014
97,25724.47
98,25775.3
99,25724.467
100,25775.3
101,25936.932
102,26098.57
103,20232.863
104,20071.22
105,19909.576
106,19747.932
107,19697.096
108,19747.932
109,19697.092
110,25743.615
111,25581.97
112,25531.135
113,25581.97
114,25743.615
115,26146.773
116,26308.424
117,26006.865
118,25956.03
119,26006.865
120,26057.7
121,26219.33
122,20112.11
123,19950.467
124,19788.822
125,19627.178
126,19465.533
127,19414.693
128,19465.533
129,26327.506
130,25813.535
131,25762.695
132,25813.535
133,25864.373
134,26026.023
135,26187.674
136,26238.43
137,26289.268
138,26238.428
139,26289.268
140,20394.518
141,20232.867
142,20071.223
143,19909.578
144,19747.936
145,19344.781
146,19183.13
147,19132.29
148,26368.414
149,26206.758
150,26045.102
151,25994.258
152,26045.102
153,26095.941
154,26146.777
155,26308.428
156,26470.078
157,26520.832
158,20504.283
159,20342.615
160,20291.768
161,20342.615
162,20353.629
163,19627.188
164,19465.537
165,19062.383
166,18900.727
167,18739.064
168,26327.51
169,26276.662
170,26327.51
171,26276.666
172,26327.502
173,26378.35
174,26429.186
175,21536.807
176,21587.656
177,21638.51
178,20383.543
179,20221.875
180,20060.207
181,20009.355
182,20060.207
183,20009.352
184,19344.791
185,19183.135
186,18779.98
187,26559.074
188,26609.92
189,26559.07
190,26609.92
191,26559.078
192,21406.955
193,21356.098
194,21305.244
195,21356.098
196,21406.955
197,20262.8
198,20101.13
199,19939.463
200,19777.795
201,19726.941
202,19777.795
203,19465.547
204,19062.393
205,18900.73
206,21873.043
207,21711.355
208,21660.498
209,21711.355
210,21660.494
211,21175.402
212,21124.541
213,21073.684
214,21124.541
215,21286.215
216,20383.547
217,20221.879
218,20060.209
219,19657.055
220,19495.379
221,19444.521
222,19495.379
223,19444.52
224,19021.494
225,21752.305
226,21590.623
227,21428.938
228,21378.076
229,21428.938
230,21267.244
231,20892.982
232,20842.123
233,20892.982
234,20731.287
235,20782.148
236,20342.629
237,19939.473
238,19777.799
239,19374.64
240,19212.96
241,19162.1
242,19212.96
243,19162.096
244,21469.889
245,21308.201
246,21146.516
247,20984.822
248,20933.959
249,20984.822
250,20610.56
251,20772.248
252,20499.727
253,20448.86
254,20499.727
255,19818.756
256,19657.07
257,19495.383
258,19092.227
259,18930.54
260,18879.674
261,21590.627
262,21428.941
263,21025.783
264,20864.09
265,20702.398
266,20540.7
267,20379.0
268,20217.3
269,20166.434
270,20217.3
271,20166.43
272,19939.494
273,19777.809
274,19374.65
275,19212.965
276,18809.807
277,18648.113
278,21308.21
279,21146.52
280,20984.826
281,20581.668
282,20419.969
283,20258.27
284,20096.572
285,19934.873
286,19884.002
287,19934.873
288,19773.168
289,19722.293
290,19495.393
291,19092.234
292,18930.543
293,12967.041
294,20864.1
295,20702.4
296,20540.701
297,20379.004
298,20217.305
299,19814.145
300,19652.441
301,19490.736
302,19439.861
303,19490.736
304,19439.857
305,18971.521
306,12633.724
307,20772.264
308,20258.291
309,20096.58
310,19934.877
311,19884.002
312,19370.012
313,19208.3
314,19157.422
315,20166.44
