,slope
0,13.553366
1,15.087007
2,15.848711
3,11.648604
4,10.206273
5,11.925658
6,15.79223
7,9.8629
8,5.769406
9,13.56012
10,22.07078
11,25.082682
12,8.352467
13,13.774554
14,18.624672
15,16.45833
16,11.850127
17,14.890488
18,13.963003
19,6.748313
20,13.678515
21,12.292474
22,13.259513
23,10.908228
24,18.547935
25,23.57212
26,14.047591
27,11.884014
28,11.31763
29,14.504959
30,14.927219
31,13.659151
32,17.244198
33,11.158318
34,14.685346
35,14.124028
36,17.989717
37,18.473995
38,18.476109
39,16.476328
40,12.681443
41,17.771168
42,15.733
43,15.166174
44,13.763294
45,8.589502
46,11.913908
47,15.273838
48,17.015694
49,12.79991
50,15.06864
51,17.11733
52,19.461264
53,18.861744
54,15.300726
55,17.990631
56,14.858748
57,11.9564905
58,17.412298
59,18.667667
60,15.3796835
61,13.05026
62,11.011815
63,10.9895
64,13.397078
65,15.083503
66,15.0607395
67,14.346097
68,13.482546
69,11.460978
70,7.9631276
71,6.86559
72,13.300396
73,15.533013
74,10.134778
75,15.632966
76,19.87132
77,21.029093
78,17.402517
79,12.162928
80,11.445237
81,14.96136
82,14.718376
83,13.5777855
84,8.74595
85,3.6539905
86,6.909165
87,7.9332733
88,10.602028
89,8.388847
90,2.1681957
91,13.980011
92,12.013155
93,6.0839844
94,14.75914
95,17.172552
96,20.996344
97,18.18933
98,15.278344
99,14.613793
100,16.421759
101,15.9857645
102,7.9231224
103,6.4318395
104,13.75579
105,13.120007
106,12.653432
107,14.122254
108,14.602026
109,13.181509
110,15.550918
111,14.19913
112,8.788228
113,14.406083
114,16.275436
115,19.725454
116,17.286959
117,15.387883
118,17.151308
119,16.817648
120,12.818143
121,5.1093664
122,11.927166
123,13.016633
124,10.669333
125,9.367445
126,9.502448
127,13.625096
128,19.988968
129,18.366055
130,16.3454
131,13.3352585
132,15.961909
133,17.682047
134,22.057655
135,22.790083
136,18.56135
137,18.319878
138,15.940483
139,10.443722
140,10.755596
141,13.6052475
142,14.728234
143,15.698914
144,17.413149
145,14.957034
146,8.769594
147,17.16678
148,13.299378
149,17.936998
150,15.274025
151,14.1418495
152,18.771278
153,21.16898
154,25.352772
155,22.210323
156,11.795355
157,5.7148194
158,8.2711525
159,8.989355
160,8.489946
161,7.674758
162,12.218707
163,18.540293
164,20.31867
165,17.754684
166,11.813705
167,16.30671
168,17.855186
169,17.728052
170,18.67292
171,23.248388
172,21.608068
173,17.470137
174,7.2693
175,6.9605703
176,10.80215
177,10.303237
178,15.109511
179,15.692137
180,17.261673
181,16.646246
182,14.851699
183,14.113772
184,17.273232
185,20.589575
186,16.637016
187,18.74337
188,18.84388
189,17.8376
190,17.073795
191,7.6376863
192,3.7611887
193,11.553085
194,12.924641
195,12.295956
196,9.298852
197,13.58077
198,15.419231
199,15.9109535
200,13.926404
201,14.925651
202,12.720439
203,8.005279
204,13.605594
205,18.876215
206,11.340655
207,8.075919
208,2.4041831
209,7.964007
210,12.514586
211,19.656218
212,19.22137
213,15.222096
214,14.023074
215,12.29448
216,10.824946
217,13.594012
218,15.964973
219,14.166882
220,11.94616
221,12.586167
222,13.437144
223,7.9168267
224,11.966436
225,13.254286
226,15.679145
227,16.899218
228,18.868723
229,20.320347
230,20.978777
231,18.728985
232,17.078737
233,18.93006
234,18.539766
235,15.636728
236,10.3865
237,16.342041
238,17.241423
239,15.825201
240,13.061506
241,14.209106
242,15.664673
243,9.628337
244,16.675306
245,18.499357
246,15.658651
247,16.277966
248,16.731075
249,17.374512
250,16.211788
251,19.921942
252,19.924406
253,20.083893
254,15.443162
255,15.183947
256,17.28048
257,16.72202
258,14.02694
259,10.961194
260,15.486071
261,13.85134
262,17.275778
263,17.135006
264,14.847779
265,11.142096
266,14.338782
267,13.202961
268,13.164505
269,16.295578
270,19.958906
271,19.686733
272,14.845572
273,11.148555
274,15.185947
275,14.585957
276,10.023546
277,9.100046
278,8.613347
279,10.806832
280,19.642513
281,16.967283
282,14.037341
283,11.565057
284,8.488459
285,7.8776236
286,13.406012
287,18.523123
288,19.945759
289,14.353414
290,11.407587
291,14.103961
292,12.780078
293,12.096915
294,10.978575
295,12.036317
296,15.69053
297,16.957836
298,17.470598
299,13.344677
300,8.946845
301,11.248628
302,16.145218
303,18.968393
304,11.058287
305,9.930965
306,8.717374
307,3.4182537
308,12.611025
309,17.126066
310,18.720049
311,20.173035
312,14.143794
313,6.874731
314,14.778383
315,17.386684
